,coda,set_mean,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,AoA_mean,onset,word_length,aoa_impact,set_size
71,#dH,6.58,garden,2.15,1,g#dH,N,2,18.0,18.0,26.55,5.33,1.78,1.0,5.33,g,4,-1.25,2
72,#dH,6.58,pardon,0.78,1,p#dH,N,2,18.0,18.0,64.65,7.83,2.31,1.0,7.83,p,4,1.25,2
83,#f,6.529999999999999,calf,1.32,1,k#f,N,1,19.0,19.0,2.96,6.63,1.5,1.0,6.63,k,3,0.10000000000000053,4
84,#f,6.529999999999999,chaff,0.0,1,J#f,N,1,18.0,16.0,0.22,10.25,4.06,0.89,10.25,J,3,3.7200000000000006,4
85,#f,6.529999999999999,half,1.57,1,h#f,N,1,22.0,22.0,199.14,5.45,1.77,1.0,5.45,h,3,-1.0799999999999992,4
86,#f,6.529999999999999,laugh,1.4,1,l#f,N,1,19.0,19.0,62.86,3.79,1.51,1.0,3.79,l,3,-2.7399999999999993,4
87,#ft,10.35,daft,0.48,1,d#ft,A,1,20.0,19.0,1.33,12.26,4.49,0.95,12.26,d,4,1.9100000000000001,4
88,#ft,10.35,raft,0.6,1,r#ft,N,1,20.0,20.0,4.71,7.35,1.95,1.0,7.35,r,4,-3.0,4
89,#ft,10.35,shaft,1.15,1,S#ft,N,1,18.0,18.0,7.71,10.17,3.38,1.0,10.17,S,4,-0.17999999999999972,4
90,#ft,10.35,waft,0.0,1,w#ft,N,1,18.0,13.0,0.16,11.62,1.98,0.72,11.62,w,4,1.2699999999999996,4
91,#ft@R,8.065,laughter,1.68,0,l#ft@R,N,2,18.0,18.0,13.8,5.39,2.55,1.0,5.39,l,6,-2.675,2
92,#ft@R,8.065,rafter,0.0,0,r#ft@R,N,2,19.0,19.0,0.06,10.74,3.6,1.0,10.74,r,6,2.6750000000000007,2
96,#g@,12.71,raga,0.0,1,r#g@,N,2,18.0,5.0,0.08,15.0,5.1,0.28,15.0,r,4,2.289999999999999,2
97,#g@,12.71,saga,0.6,1,s#g@,N,2,20.0,19.0,0.78,10.42,3.19,0.95,10.42,s,4,-2.290000000000001,2
105,#k,7.4975000000000005,bark,0.0,1,b#k,N,1,18.0,18.0,5.49,5.17,1.76,1.0,5.17,b,3,-2.3275000000000006,8
