,coda,set_mean,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,Concreteness,onset,word_length,concreteness_impact,set_size
205,#t,4.218571428571429,cart,1.04,1,k#t,N,1,0,4.89,0.42,0,27,1.0,461,Noun,4.89,k,3,0.6714285714285708,7
206,#t,4.218571428571429,chart,1.26,1,J#t,N,1,0,4.48,1.19,0,27,1.0,483,Noun,4.48,J,3,0.26142857142857157,7
207,#t,4.218571428571429,dart,0.48,1,d#t,N,1,0,4.9,0.31,0,30,1.0,98,Noun,4.9,d,3,0.6814285714285715,7
208,#t,4.218571428571429,fart,0.0,1,f#t,N,1,0,4.18,1.28,0,28,1.0,328,Noun,4.18,f,3,-0.038571428571429145,7
209,#t,4.218571428571429,heart,2.21,1,h#t,N,1,0,4.52,0.95,0,29,1.0,12453,Noun,4.52,h,3,0.3014285714285707,7
210,#t,4.218571428571429,part,2.76,1,p#t,N,1,0,3.29,1.24,0,28,1.0,13337,Noun,3.29,p,3,-0.9285714285714288,7
211,#t,4.218571428571429,tart,0.6,1,t#t,N,1,0,3.27,1.54,0,26,1.0,122,Noun,3.27,t,3,-0.9485714285714288,7
212,#t@R,3.6719999999999997,barter,0.0,1,b#t@R,N,2,0,2.96,1.26,2,25,0.92,46,Verb,2.96,b,5,-0.7119999999999997,5
213,#t@R,3.6719999999999997,charter,0.9,0,J#t@R,N,2,0,3.15,1.51,0,27,1.0,151,Noun,3.15,J,5,-0.5219999999999998,5
214,#t@R,3.6719999999999997,garter,0.3,0,g#t@R,N,2,0,4.78,0.7,0,27,1.0,67,Noun,4.78,g,5,1.1080000000000005,5
215,#t@R,3.6719999999999997,martyr,0.78,1,m#t@R,N,2,0,3.07,1.36,0,29,1.0,132,Noun,3.07,m,5,-0.6019999999999999,5
216,#t@R,3.6719999999999997,tartar,0.0,1,t#t@R,N,2,0,4.4,1.13,0,30,1.0,76,Adjective,4.4,t,5,0.7280000000000006,5
